iter	MultiClass
0	2.015874815
1	1.970329169
2	1.927157457
3	1.893994407
4	1.865549994
5	1.841443214
6	1.818538709
7	1.79725596
8	1.782998951
9	1.769188368
10	1.759364346
11	1.744422423
12	1.732833295
13	1.721695305
14	1.710607924
15	1.700591113
16	1.690890485
17	1.684089127
18	1.676882224
19	1.670020544
20	1.663041447
21	1.655838421
22	1.64837827
23	1.641336549
24	1.637072695
25	1.631086644
26	1.624949285
27	1.621256287
28	1.615131412
29	1.610913456
30	1.606996778
31	1.601621184
32	1.596541382
33	1.593897913
34	1.590388123
35	1.585486016
36	1.582744202
37	1.579312139
38	1.577805417
39	1.573545968
40	1.570770885
41	1.568427985
42	1.566070896
43	1.564556199
44	1.562297336
45	1.560989992
46	1.557275457
47	1.554226977
48	1.551253619
49	1.547739763
50	1.546961372
51	1.544872382
52	1.544109623
53	1.541123834
54	1.539184893
55	1.537422799
56	1.533932747
57	1.531606576
58	1.529142855
59	1.526880662
60	1.525415334
61	1.521973057
62	1.520465584
63	1.518618738
64	1.515803091
65	1.512533824
66	1.510740448
67	1.509270809
68	1.508103276
69	1.506721989
70	1.504882204
71	1.5019736
72	1.500235897
73	1.498967347
74	1.497887529
75	1.495747253
76	1.494446807
77	1.492300509
78	1.489096254
79	1.488243206
80	1.486128517
81	1.483684512
82	1.481490147
83	1.478606614
84	1.476774249
85	1.475685944
86	1.474112995
87	1.472640521
88	1.47113854
89	1.470514303
90	1.468854289
91	1.46631125
92	1.465244325
93	1.462447727
94	1.460969252
95	1.459461783
96	1.458463599
97	1.45723778
98	1.455463758
99	1.454389054
100	1.453476897
101	1.451790793
102	1.449885231
103	1.447844318
104	1.44704257
105	1.445205071
106	1.442239654
107	1.440685929
108	1.439349698
109	1.438213218
110	1.436325622
111	1.432921905
112	1.43119535
113	1.429244874
114	1.427510318
115	1.42599553
116	1.424017366
117	1.421530725
118	1.418947516
119	1.417760388
120	1.416090786
121	1.414716621
122	1.413100188
123	1.411811003
124	1.410300615
125	1.409753912
126	1.408539034
127	1.407747584
128	1.406849513
129	1.40492879
130	1.403182456
131	1.401699072
132	1.400148259
133	1.399313881
134	1.398659071
135	1.397561265
136	1.396183018
137	1.394632008
138	1.393354338
139	1.392004548
140	1.391279217
141	1.389753765
142	1.387471857
143	1.38543776
144	1.383566816
145	1.382229521
146	1.381342718
147	1.379147541
148	1.37625133
149	1.375070175
150	1.37348398
151	1.372614647
152	1.370687953
153	1.368307156
154	1.367299791
155	1.364829641
156	1.362817494
157	1.361042595
158	1.360156458
159	1.358977519
160	1.357349046
161	1.355456171
162	1.354667227
163	1.353570329
164	1.352518507
165	1.350913826
166	1.350147334
167	1.347725298
168	1.346232963
169	1.344862581
170	1.344049239
171	1.342773946
172	1.341693112
173	1.339400021
174	1.338025045
175	1.336972302
176	1.33568313
177	1.334079368
178	1.333037174
179	1.331565149
180	1.331076828
181	1.329678543
182	1.328703962
183	1.327699729
184	1.326894231
185	1.325597891
186	1.323825339
187	1.3225712
188	1.321992473
189	1.320090455
190	1.319339636
191	1.318464912
192	1.315752108
193	1.314557082
194	1.313456816
195	1.311437105
196	1.310204288
197	1.309431899
198	1.30757183
199	1.306790956
200	1.305574235
201	1.303944742
202	1.302740123
203	1.301815556
204	1.300201833
205	1.299194146
206	1.298265761
207	1.297644092
208	1.296620181
209	1.295701624
210	1.294357156
211	1.292633761
212	1.290527166
213	1.289779332
214	1.288624154
215	1.287624496
216	1.287136416
217	1.286295027
218	1.285748119
219	1.284846219
220	1.283222421
221	1.282516943
222	1.280468929
223	1.279588284
224	1.278496085
225	1.277545295
226	1.276478581
227	1.274791243
228	1.274345567
229	1.273145043
230	1.271613438
231	1.270088344
232	1.269167526
233	1.267253297
234	1.266515234
235	1.263583979
236	1.262248054
237	1.261223473
238	1.259196188
239	1.258083319
240	1.256983633
241	1.255776022
242	1.253868082
243	1.252554076
244	1.251627648
245	1.250365298
246	1.249405892
247	1.248755613
248	1.247904606
249	1.247453144
250	1.246360144
251	1.24555164
252	1.245231683
253	1.24429863
254	1.243713254
255	1.24211259
256	1.240492978
257	1.23890735
258	1.23738493
259	1.23610546
260	1.235235325
261	1.232844986
262	1.232083838
263	1.230915439
264	1.230371982
265	1.229588325
266	1.22871267
267	1.227521808
268	1.226421516
269	1.224726884
270	1.223886638
271	1.2230479
272	1.222590301
273	1.220941934
