iter	Passed	Remaining
0	46	46312
1	72	36259
2	146	48717
3	177	44084
4	207	41374
5	233	38632
6	262	37301
7	290	36006
8	314	34625
9	347	34373
10	378	34039
11	410	33813
12	446	33864
13	532	37512
14	598	39324
15	873	53689
16	928	53663
17	978	53359
18	1199	61949
19	1259	61711
20	1287	60035
21	1352	60138
22	1374	58403
23	1396	56809
24	1432	55852
25	1456	54565
26	1482	53415
27	1501	52138
28	1513	50660
29	1523	49253
30	1535	48000
31	1546	46786
32	1557	45641
33	1567	44537
34	1578	43529
35	1591	42606
36	1601	41681
37	1612	40831
38	1626	40070
39	1636	39268
40	1645	38500
41	1657	37800
42	1667	37105
43	1676	36426
44	1686	35793
45	1696	35192
46	1708	34648
47	1719	34108
48	1730	33585
49	1741	33096
50	1752	32601
51	1761	32118
52	1771	31654
53	1781	31209
54	1791	30779
55	1804	30425
56	1822	30150
57	1841	29909
58	1853	29565
59	1863	29201
60	1876	28881
61	1887	28554
62	1906	28348
63	1916	28034
64	1928	27735
65	1942	27496
66	1957	27252
67	1966	26956
68	1987	26815
69	1998	26551
70	2009	26290
71	2019	26034
72	2056	26111
73	2065	25852
74	2076	25607
75	2087	25383
76	2097	25145
77	2108	24919
78	2119	24708
79	2128	24481
80	2139	24279
81	2151	24090
82	2162	23892
83	2173	23699
84	2186	23539
85	2199	23373
86	2218	23279
87	2232	23136
88	2244	22974
89	2271	22962
90	2301	22986
91	2322	22919
92	2335	22779
93	2350	22652
94	2361	22494
95	2375	22367
96	2389	22244
97	2411	22193
98	2425	22072
99	2438	21950
100	2453	21842
101	2471	21755
102	2486	21657
103	2498	21522
104	2511	21403
105	2521	21268
106	2532	21132
107	2542	21000
108	2553	20871
109	2564	20746
110	2575	20628
111	2587	20512
112	2597	20388
113	2608	20273
114	2619	20156
115	2629	20039
116	2640	19928
117	2651	19821
118	2663	19717
119	2674	19610
120	2685	19509
121	2697	19411
122	2707	19306
123	2718	19201
124	2728	19100
125	2738	18995
126	2748	18894
127	2759	18798
128	2769	18698
129	2784	18633
130	2797	18555
131	2807	18461
132	2819	18376
133	2828	18282
134	2840	18197
135	2849	18104
136	2860	18021
137	2871	17935
138	2881	17849
139	2892	17766
140	2902	17680
141	2912	17596
142	2923	17522
143	2934	17446
144	2945	17367
145	2955	17287
146	2966	17214
147	2977	17141
148	2988	17068
149	2998	16993
150	3009	16921
151	3020	16848
152	3033	16794
153	3056	16789
154	3066	16717
155	3077	16649
156	3088	16583
157	3099	16518
158	3109	16447
159	3119	16379
160	3130	16314
161	3140	16247
162	3151	16181
163	3164	16132
164	3176	16075
165	3187	16013
166	3197	15948
167	3207	15886
168	3220	15833
169	3231	15779
170	3243	15723
171	3253	15663
172	3264	15604
173	3279	15567
174	3292	15520
175	3302	15463
176	3315	15415
177	3327	15365
178	3344	15337
179	3359	15304
180	3379	15291
181	3413	15340
182	3428	15306
183	3442	15266
184	3455	15221
185	3468	15179
186	3483	15145
187	3495	15098
188	3507	15051
189	3521	15010
190	3533	14967
191	3546	14922
192	3560	14889
193	3577	14863
194	3590	14821
195	3603	14782
196	3616	14742
197	3627	14692
198	3641	14658
199	3656	14624
200	3668	14583
201	3680	14541
202	3693	14501
203	3705	14459
204	3716	14411
205	3727	14366
206	3738	14321
207	3748	14273
208	3758	14226
209	3772	14193
210	3786	14157
211	3797	14114
212	3811	14082
213	3822	14039
214	3835	14003
215	3851	13978
216	3864	13943
217	3877	13908
218	3891	13879
219	3910	13866
220	3924	13833
221	3940	13810
222	3964	13813
223	3975	13773
224	3989	13740
225	3999	13696
226	4009	13652
227	4023	13624
228	4035	13586
229	4054	13574
230	4069	13546
231	4079	13503
232	4088	13460
233	4100	13422
234	4110	13381
235	4121	13342
236	4132	13303
237	4142	13261
238	4153	13223
239	4163	13185
240	4174	13147
241	4193	13134
242	4204	13097
243	4214	13058
244	4226	13024
245	4240	12998
246	4251	12961
247	4263	12928
248	4276	12897
249	4296	12889
250	4308	12857
251	4320	12823
252	4331	12787
253	4343	12757
254	4355	12723
255	4366	12689
256	4379	12660
257	4392	12631
258	4403	12599
259	4414	12563
260	4425	12529
261	4437	12500
262	4450	12471
263	4465	12448
264	4479	12424
265	4493	12398
266	4504	12366
267	4514	12331
268	4529	12308
269	4541	12280
270	4553	12248
271	4564	12217
272	4575	12184
273	4588	12157
274	4598	12123
275	4609	12092
276	4621	12063
277	4632	12031
278	4643	12001
279	4654	11969
280	4665	11937
281	4679	11914
282	4692	11889
283	4704	11860
284	4715	11831
285	4725	11798
286	4736	11767
287	4747	11736
288	4759	11708
289	4772	11685
290	4783	11654
291	4795	11628
292	4807	11599
293	4818	11571
294	4829	11542
295	4840	11513
296	4852	11485
297	4862	11455
298	4876	11432
299	4889	11408
300	4900	11380
301	4912	11353
302	4922	11323
303	4933	11294
304	4943	11263
305	4956	11242
306	4972	11224
307	4981	11193
308	4993	11165
309	5005	11140
310	5026	11136
311	5037	11107
312	5058	11103
313	5068	11074
314	5079	11045
315	5089	11015
316	5098	10986
317	5109	10957
318	5119	10929
319	5129	10900
320	5140	10872
321	5151	10846
322	5161	10818
323	5173	10793
324	5187	10773
325	5204	10760
